COD_DANE,NOMBRE_MUNICIPIO,NOMBRE_DEPARTAMENTO,TOTAL
27025,ALTO BAUDÓ,CHOCÓ,1
25095,BITUIMA,CUNDINAMARCA,1
50245,EL CALVARIO,META,1
91263,EL ENCANTO,AMAZONAS,1
68344,HATO,SANTANDER,1
52390,LA TOLA,NARIÑO,1
94663,MAPIRIPANA,GUAINÍA,1
13440,MARGARITA,BOLÍVAR,1
27495,NUQUÍ,CHOCÓ,1
91530,PUERTO ALEGRÍA,AMAZONAS,1
